# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
# Route 5 (41) - Route 4 Cycling Road (40)
41,N,0,40,S,0
# Route 5 (41) - Route 6 Cycling Road (45)
41,S,6,45,N,0
# Route 6 (44) - Route 1 (5)
44,S,43,5,N,0
# Safari Zone outside (66) - Route 1 (5)
66,N,18,5,S,0
# Cedolan City (7) - Route 1 (5)
7,S,0,5,N,2
# Lappet Town (2) - Route 1 (5)
2,N,0,5,S,4
# Cedolan City (7) - Route 6 (44)
7,W,5,44,E,0
# Lappet Town (2) - Safari Zone outside (66)
2,W,0,66,E,0
# Route 8 (69) - Safari Zone outside (66)
69,N,0,66,S,10
# Ingido Plateau outside (35) - Route 4 (39)
35,W,11,39,E,0
# Cedolan City (7) - Lerucean Town (23)
7,E,0,23,W,78
# Route 3 (31) - Lerucean Town (23)
31,S,32,23,N,0
# Route 2 (21) - Lerucean Town (23)
21,E,0,23,W,1
# Route 7 (47) - Cedolan City (7)
47,W,0,7,E,0
# Route 2 (21) - Cedolan City (7)
21,S,0,7,N,21
# Route 3 (31) - Ingido Plateau outside (35)
31,W,0,35,E,10
# Route 8 (69) - Lappet Town (2)
69,N,12,2,S,0
# Route 7 (47) - Battle Frontier (52)
47,E,8,52,W,0
# Route 2 (21) - Route 7 (47)
21,E,77,47,W,0
# Poké Federation Bridge (144) - Poké Federation Bridge (143)
144,W,0,143,E,0
# Poké Federation Bridge (142) - Poké Federation Bridge (143)
142,E,0,143,W,0
# Poké Federation Bridge (145) - Poké Federation Bridge (144)
145,W,4,144,E,0
# Poké Federation Bridge (140) - Poké Federation Bridge (139)
140,W,0,139,E,3
# Federation Path (146) - Poké Federation Bridge (139)
146,N,0,139,S,573
# Poké Federation Bridge (141) - Poké Federation Bridge (140)
141,W,0,140,E,0
# Poké Federation Bridge (142) - Federation Path (146)
142,S,77,146,N,0
# Poké Federation Bridge (142) - Poké Federation Bridge (141)
142,W,0,141,E,0
# Halax City Plaza (177) - Route 6 (170)
177,E,10,170,W,0
# Halax City Docks (185) - Route 6 (170)
185,E,0,170,W,25
# Route 6 (169) - Route 6 (170)
169,W,0,170,E,0
# Glasgow Town (156) - Glasgow Town (155)
156,N,0,155,S,6
# Route 4 (151) - Glasgow Town (155)
151,S,5,155,N,0
# Route 5 (168) - Glasgow Town (155)
168,E,0,155,W,14
# Halax City (184) - Halax City Plaza (177)
184,E,0,177,W,1
# Halax City Docks (185) - Halax City Plaza (177)
185,N,0,177,S,0
# Halax City Docks (185) - Halax City (184)
185,W,0,184,E,34
# Route 6 (169) - Route 5 (168)
169,E,0,168,W,6
# Bridge 5 (226) - Bridge 4 (225)
226,W,0,225,E,13
# Bridge 11 (232) - Bridge 4 (225)
232,W,30,225,E,0
# Bridge 6 (227) - Bridge 4 (225)
227,N,0,225,S,30
# Bridge 7 (228) - Bridge 4 (225)
228,W,0,225,E,55
# Bridge 8 (229) - Bridge 4 (225)
229,W,7,225,E,0
# Bridge 3 (224) - Bridge 4 (225)
224,E,0,225,W,0
# Bridge 16 (237) - Bridge 15 (236)
237,N,0,236,S,50
# Bridge 27 (248) - Bridge 15 (236)
248,N,0,236,S,140
# Bridge 22 (243) - Bridge 15 (236)
243,W,0,236,E,130
# Bridge 12 (233) - Bridge 15 (236)
233,E,0,236,W,0
# Bridge 13 (234) - Bridge 15 (236)
234,N,0,236,S,0
# Bridge 19 (240) - Bridge 15 (236)
240,W,0,236,E,80
# Bridge 20 (241) - Bridge 15 (236)
241,W,0,236,E,56
# Bridge 27 (248) - Bridge 26 (247)
248,S,0,247,N,0
# Bridge 28 (249) - Bridge 26 (247)
249,W,0,247,E,0
# Bridge 23 (244) - Bridge 26 (247)
244,E,20,247,W,0
# Bridge 18 (239) - Bridge 26 (247)
239,N,120,247,S,0
# Bridge 24 (245) - Bridge 26 (247)
245,N,30,247,S,0
# Bridge 8 (229) - Bridge 26 (247)
229,N,200,247,S,0
# Bridge 19 (240) - Bridge 26 (247)
240,N,70,247,S,0
# Bridge 25 (246) - Bridge 26 (247)
246,N,0,247,S,0
# Bridge 9 (230) - Bridge 26 (247)
230,N,160,247,S,0
# Bridge 10 (231) - Bridge 21 (242)
231,E,10,242,W,0
# Bridge 22 (243) - Bridge 21 (242)
243,W,0,242,E,0
# Bridge 18 (239) - Bridge 21 (242)
239,S,0,242,N,0
# Bridge 24 (245) - Bridge 21 (242)
245,S,0,242,N,90
# Bridge 19 (240) - Bridge 21 (242)
240,W,50,242,E,0
# Bridge 20 (241) - Bridge 21 (242)
241,W,74,242,E,0
# Bridge 9 (230) - Bridge 21 (242)
230,E,50,242,W,0
# Bridge 5 (226) - Bridge 10 (231)
226,E,20,231,W,0
# Bridge 11 (232) - Bridge 10 (231)
232,E,63,231,W,0
# Bridge 7 (228) - Bridge 10 (231)
228,E,0,231,W,22
# Bridge 18 (239) - Bridge 10 (231)
239,W,40,231,E,0
# Bridge 8 (229) - Bridge 10 (231)
229,E,40,231,W,0
# Bridge 9 (230) - Bridge 10 (231)
230,S,0,231,N,0
# Bridge 2 (223) - Bridge 1 (138)
223,W,0,138,E,24
# Bridge 6 (227) - Bridge 5 (226)
227,N,20,226,S,0
# Bridge 12 (233) - Bridge 5 (226)
233,W,100,226,E,0
# Bridge 7 (228) - Bridge 5 (226)
228,N,0,226,S,0
# Bridge 8 (229) - Bridge 5 (226)
229,S,0,226,N,0
# Bridge 9 (230) - Bridge 5 (226)
230,W,20,226,E,0
# Bridge 22 (243) - Bridge 16 (237)
243,W,0,237,E,110
# Bridge 17 (238) - Bridge 16 (237)
238,N,0,237,S,0
# Bridge 13 (234) - Bridge 16 (237)
234,E,0,237,W,0
# Bridge 19 (240) - Bridge 16 (237)
240,W,0,237,E,60
# Bridge 14 (235) - Bridge 16 (237)
235,N,50,237,S,0
# Bridge 20 (241) - Bridge 16 (237)
241,W,0,237,E,36
# Bridge 28 (249) - Bridge 27 (248)
249,N,0,248,S,30
# Bridge 23 (244) - Bridge 27 (248)
244,E,0,248,W,10
# Bridge 24 (245) - Bridge 27 (248)
245,E,0,248,W,60
